# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.718760664196961585e+01,3.604242599136393999e+00,-4.238275427447306498e+01
-4.395999605277722821e-02,-4.735432393420069275e-02,-3.575065230518248427e-01,-1.828206078482808650e+01,4.100522926608580754e+00,-4.224949125450238796e+01
-7.625049141593542856e-02,-9.731239560483118112e-02,-7.208200696397852880e-01,-1.923842173237869702e+01,4.570177313254832008e+00,-4.194799299626898659e+01
-1.326637788146047825e-01,-1.665252510687196263e-01,-1.076505161661543752e+00,-2.042276121385641119e+01,5.082654523930708379e+00,-4.224819887044336753e+01
-1.726267923274900085e-01,-2.394740103985668611e-01,-1.434907940558503014e+00,-2.158489085150826270e+01,5.677245146822333055e+00,-4.196113305435749652e+01
-2.311514108583132554e-01,-2.957877601535301437e-01,-1.790691951319104191e+00,-2.242524342890126121e+01,6.102414191978561497e+00,-4.191557375436620703e+01
-2.747084294478927546e-01,-3.637008819879383736e-01,-2.142779157576399029e+00,-2.310801818729414236e+01,6.529311602771342926e+00,-4.194101048454107428e+01
-3.317353237092888207e-01,-4.308274400377740676e-01,-2.498547082531473507e+00,-2.398403829020721645e+01,6.941044249227505958e+00,-4.178003425000380844e+01
-3.863232406141872133e-01,-4.981935157386487845e-01,-2.855020262608519488e+00,-2.488143374148823739e+01,7.263849153430001593e+00,-4.167356263441582342e+01
-4.493251289264499349e-01,-5.725182968590161181e-01,-3.208439484405744224e+00,-2.526005873763499920e+01,7.590722151510217230e+00,-4.190013589152883355e+01
-5.031514369273821785e-01,-6.431988556414580671e-01,-3.561663175463792186e+00,-2.617150431999476012e+01,7.905278018627971193e+00,-4.194773369942742391e+01
-5.616968070070136321e-01,-7.203606771480508542e-01,-3.911593493975033198e+00,-2.688857990004823151e+01,8.363309097823698579e+00,-4.204283701220251857e+01
-6.332273916252937340e-01,-7.956912326392284740e-01,-4.263902558099459839e+00,-2.726733266464384542e+01,8.487016082250500304e+00,-4.184597242117365568e+01
-6.941875053717136979e-01,-8.714564629299275111e-01,-4.617090673981380178e+00,-2.773325088726700116e+01,8.815207487797017905e+00,-4.158276113691223230e+01
-7.522594543722487259e-01,-9.541797334973125544e-01,-4.969382246334959063e+00,-2.814416227159349049e+01,9.002541811193740529e+00,-4.180904995880173658e+01
-8.217592271796352321e-01,-1.028837577171998419e+00,-5.315711574066540379e+00,-2.844676516542639888e+01,9.189024549026933997e+00,-4.176040450617085753e+01
-8.900192230728389831e-01,-1.111355406419079372e+00,-5.662949963262065012e+00,-2.823848524794198411e+01,9.090125494380252746e+00,-4.206609243637709028e+01
-9.465024002922941548e-01,-1.194219449154161339e+00,-6.012387396723966049e+00,-2.884783741380632449e+01,9.497340030690375912e+00,-4.168902024038268195e+01
-1.007540897095609012e+00,-1.265861816049437039e+00,-6.360773412265587012e+00,-2.871594653699245114e+01,9.574995643482340668e+00,-4.143975791698272815e+01
