# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
-9.869986397958672164e-01,-2.178102995216586351e+02,8.748250436155602756e+02,-1.048004323147861356e+02,-9.709560042916970701e+01,3.550965454127064902e+01
-9.348382865169549971e-01,-2.173442048733700744e+02,8.748619165506784157e+02,-1.046087697429803995e+02,-9.555127014006716024e+01,3.412024837714018588e+01
-8.545929980820176075e-01,-2.168623500080922781e+02,8.749249467579556949e+02,-1.045540639939985255e+02,-9.390815419602951408e+01,3.419673447339170025e+01
-7.714440373377088322e-01,-2.164008906814985096e+02,8.749898590301957029e+02,-1.043471239862023623e+02,-9.270820564171175704e+01,3.566668273348800255e+01
-6.911708473340217873e-01,-2.159340574694680868e+02,8.750503422610870530e+02,-1.046197882801880041e+02,-9.280928949718564525e+01,3.646170640721988576e+01
-6.069329112553525363e-01,-2.154746208309711903e+02,8.751219074976639831e+02,-1.052280400243820395e+02,-9.071361838236995823e+01,2.273628056623907767e+01
-5.151253355176986792e-01,-2.150120421262056425e+02,8.751987365291142851e+02,-1.032741022818263446e+02,-8.614166339102915515e+01,1.845895850430886043e+01
-4.060156071305219827e-01,-2.145523373025805540e+02,8.752595623973290913e+02,-1.014706635373487131e+02,-7.971541691987370370e+01,1.257278207260496394e+01
-3.088258979973904084e-01,-2.140890734875098360e+02,8.753504185406868601e+02,-1.029105615328868168e+02,-8.248638494705826929e+01,1.398118189708485204e+01
-2.042631802376903005e-01,-2.136301136033070520e+02,8.754444423446618657e+02,-1.028567148656048857e+02,-8.123116863987122827e+01,1.198357613810082434e+01
-8.769433407758660259e-02,-2.131782830692552011e+02,8.755428354515991032e+02,-1.026746922526171204e+02,-7.922336706401593176e+01,9.653882132324813625e+00
3.207558922580969890e-02,-2.127237655941831918e+02,8.756454076080417508e+02,-1.027316222700020347e+02,-7.723491669131998094e+01,7.387776758980328040e+00
1.525085895551903936e-01,-2.122734556276607520e+02,8.757461359261958478e+02,-1.020145025269849981e+02,-7.549282984914286487e+01,4.956295464310707111e+00
2.817254472945984189e-01,-2.118241610427575949e+02,8.758609450510665511e+02,-1.017422797399035233e+02,-7.388494176765136956e+01,3.042912735586719819e+00
4.151022006115955842e-01,-2.113802041073035696e+02,8.759786095124406984e+02,-1.012819267585053638e+02,-7.226316835462762356e+01,1.091369041928505146e+00
5.592325422104627020e-01,-2.109381099269405127e+02,8.761008017971543040e+02,-1.012734848734991004e+02,-7.127232317257028171e+01,-4.066378658052302031e-01
7.023492541655109722e-01,-2.105044576269650349e+02,8.762266045699635697e+02,-1.003755006729552832e+02,-6.819295244457208582e+01,-3.120156196331893561e+00
8.479753428812318861e-01,-2.100698151450344824e+02,8.763674206367024908e+02,-1.004598225013583175e+02,-6.830068283993121270e+01,-4.192407335349638053e+00
