"Velocity","Centroid"
0.46993530493430136,4.966405075026276E-4
0.4701193908511306,4.892496240084082E-4
0.470601202026067,4.8038056381534487E-4
0.47153125520017763,4.6973769158366893E-4
0.47309104080851766,4.5696624490565777E-4
0.4748142961409996,4.4587572699314747E-4
0.47699457710016563,4.3157155491127693E-4
0.4799388308671204,4.1256947605295796E-4
0.4831806035017142,3.9221869611425663E-4
0.48638397460525934,3.6878481749438803E-4
0.48946018312894884,3.3679145137964424E-4
0.491583978421933,3.0187178285934804E-4
0.4929259077234109,2.58742039054967E-4
0.49347193905734277,2.1982533674949793E-4
0.49367944262869967,1.7709455837625307E-4
0.4937323315591913,5.831312466270117E-6
0.4937344148221313,2.2230769919343607E-5
0.49373541012980754,1.4786986187407565E-4
0.49374041682094755,4.499065190801867E-5
0.49374086172494175,4.366822989898997E-5
0.49374907957333597,6.678177000934064E-5
0.49375348355402265,8.113456863562658E-5
0.49375517404342384,9.183230172556424E-5
0.4937552471415419,1.086068209049207E-4
