"Velocity","Centroid"
0.14266708973099737,0.4966405075026276
0.14426895718602312,0.48924962400840816
0.14846582248173273,0.48038056381534483
0.15667825006624406,0.4697376915836689
0.17083099472712332,0.45696624490565774
0.18994849790927426,0.4441188332938481
0.2150812220271343,0.4280187027300527
0.22929294671082415,0.4208737047434701
0.26346665942666087,0.4019139332648912
0.293576976269676,0.3871012118726073
0.31881900687886333,0.37391686865347334
0.35347852270761126,0.35614607560211464
0.3942738511733878,0.33224041889395045
0.449272354702515,0.29382257979180226
0.4740123583624266,0.2706091831156481
0.48455066378697564,0.26091415481281227
0.5043170668757443,0.23195018741461465
0.5103588599999116,0.22406594171448818
0.5226859079048949,0.1932728108480893
0.5315765552580235,0.16751277349533303
0.5342504941109124,0.15033295630238086
0.5388507451344366,0.11851704323522563
0.5389155961356514,0.1258332648910454
0.5412460119112943,0.09222360677520777
0.5425951799754672,0.06198733514959509
0.5429139031364791,0.006524236971153671
0.543136079878893,0.029708119023365093
