"Velocity","Centroid"
0.009436339516396589,0.4966405075026276
0.030140431850200062,0.48924962400840816
0.054977232769565246,0.48038056381534483
0.08155796550113822,0.4697376915836689
0.1135950550836189,0.45696624490565774
0.1457240832442097,0.4441188332938481
0.1829288425014503,0.4280187027300527
0.1982351200737512,0.4208737047434701
0.23856231386227242,0.4019139332648912
0.2686366004528776,0.3871012118726073
0.2939766704903566,0.37391686865347334
0.3255453445558694,0.35614607560211464
0.3621719122751344,0.33224041889395045
0.41010264816558945,0.29382257979180226
0.4318893489641037,0.2706091831156481
0.4401503803743128,0.26091415481281227
0.45776853560188824,0.23195018741461465
0.46183950000213264,0.22406594171448818
0.47291674216062407,0.1932728108480893
0.4791597964931744,0.16751277349533303
0.48204727773945244,0.15033295630238086
0.48459965841760366,0.1258332648910454
0.4853314401536018,0.11851704323522563
0.4866609432130139,0.09222360677520777
0.48745622663669624,0.06198733514959509
0.4878177262521107,0.029708119023365093
0.48802565646352364,0.006524236971153671
