"Time","Position"
1.0E-5,2.0219482765465292E-6
2.0E-5,2.4370029459513126E-6
3.0000000000000004E-5,2.8807624364275523E-6
4.0E-5,2.4897533442686124E-6
5.0E-5,2.450683208812432E-6
6.0E-5,2.7456488136000847E-6
7.000000000000001E-5,3.323989161212395E-6
8.0E-5,2.9942256932515645E-6
9.0E-5,3.3234668748595173E-6
1.0E-4,4.1106054999186816E-6
1.1E-4,5.1688254853719664E-6
1.2E-4,6.7114320008914385E-6
1.3000000000000002E-4,8.062386456895705E-6
1.4000000000000001E-4,9.124706192436276E-6
1.5000000000000001E-4,1.0197755124210805E-5
1.6E-4,1.1116464516277878E-5
1.7E-4,1.1324438103142218E-5
1.8E-4,1.1290605680682334E-5
1.9E-4,1.1120797836107818E-5
2.0E-4,1.1064783968688477E-5
2.1E-4,1.1806623698940047E-5
2.2E-4,1.2464662218735276E-5
2.3E-4,1.2752479123979146E-5
2.4E-4,1.3532565739713372E-5
2.5E-4,1.4688877961084905E-5
2.6000000000000003E-4,1.682786619495145E-5
2.7000000000000006E-4,1.8577108219384932E-5
2.800000000000001E-4,1.93142839926805E-5
2.900000000000001E-4,2.0083260756813806E-5
3.0000000000000014E-4,2.110960625799785E-5
3.1000000000000016E-4,2.1955780746673562E-5
3.200000000000002E-4,2.2398797361712923E-5
3.300000000000002E-4,2.336735214313547E-5
3.4000000000000024E-4,2.4584318891743124E-5
3.5000000000000027E-4,2.5724910300098886E-5
3.600000000000003E-4,2.679175415707171E-5
3.700000000000003E-4,2.8626274660003488E-5
3.8000000000000035E-4,3.04060290198578E-5
3.9000000000000037E-4,3.1494543226989576E-5
4.000000000000004E-4,3.317267235377142E-5
4.100000000000004E-4,3.399912748524562E-5
4.2000000000000045E-4,3.458144733390908E-5
4.300000000000005E-4,3.5422907776350896E-5
4.400000000000005E-4,3.6312665201549416E-5
4.5000000000000053E-4,3.711897311709681E-5
4.6000000000000056E-4,3.791971670057333E-5
4.700000000000006E-4,3.831841646759963E-5
4.800000000000006E-4,3.84167225956859E-5
4.900000000000006E-4,3.8400897958054354E-5
5.000000000000007E-4,3.855626618173678E-5
5.100000000000007E-4,3.9115537471946385E-5
5.200000000000007E-4,4.029312914845412E-5
5.300000000000007E-4,4.17053656249707E-5
5.400000000000008E-4,4.314804290687348E-5
5.500000000000008E-4,4.428464324411383E-5
5.600000000000008E-4,4.4842678616907E-5
5.700000000000008E-4,4.5791597877382594E-5
5.800000000000009E-4,4.6001802404173984E-5
5.900000000000009E-4,4.6329448610062384E-5
6.000000000000009E-4,4.547225644778969E-5
6.10000000000001E-4,4.619178044193363E-5
6.20000000000001E-4,4.728128837308309E-5
6.30000000000001E-4,4.834074905224315E-5
6.40000000000001E-4,4.918047453136014E-5
6.500000000000011E-4,5.11368304513949E-5
6.600000000000011E-4,5.143646375424538E-5
6.700000000000011E-4,5.204250558370434E-5
6.800000000000011E-4,5.2512872522487286E-5
6.900000000000012E-4,5.345897929385235E-5
7.000000000000012E-4,5.493168488670282E-5
7.100000000000012E-4,5.654085242013403E-5
7.200000000000012E-4,5.785552948423822E-5
7.300000000000013E-4,5.9084556114807055E-5
7.400000000000013E-4,6.024369015894296E-5
7.500000000000013E-4,6.171205038402445E-5
7.600000000000013E-4,6.360225745928057E-5
7.700000000000014E-4,6.540055762849586E-5
7.800000000000014E-4,6.703068358935506E-5
7.900000000000014E-4,6.810204933877858E-5
8.000000000000014E-4,6.900479229810355E-5
8.100000000000015E-4,6.990565025314728E-5
8.200000000000015E-4,7.134382658773433E-5
8.300000000000015E-4,7.28614435589258E-5
8.400000000000016E-4,7.44382290164882E-5
8.500000000000016E-4,7.593980607619333E-5
8.600000000000016E-4,7.726327833414682E-5
8.700000000000016E-4,7.84078030308884E-5
8.800000000000017E-4,7.94153811810631E-5
8.900000000000017E-4,8.080238168938277E-5
9.000000000000017E-4,8.258244275935362E-5
9.100000000000017E-4,8.448337732347751E-5
9.200000000000018E-4,8.645581973572687E-5
9.300000000000018E-4,8.814933711908773E-5
9.400000000000018E-4,8.960925201211783E-5
9.500000000000018E-4,9.071594561155767E-5
