"Time","Position"
1.0E-5,-5.57981874703249E-7
2.0E-5,-5.890695697708169E-7
3.0000000000000004E-5,-9.731039597048472E-7
4.0E-5,-1.187094414025841E-6
5.0E-5,-1.3260802349593027E-6
6.0E-5,-1.937482115896158E-6
7.000000000000001E-5,-2.2528036148898624E-6
8.0E-5,-1.9888050017241676E-6
9.0E-5,-1.946608802367101E-6
1.0E-4,-1.6588535707915053E-6
1.1E-4,-1.3555874201892834E-6
1.2E-4,-1.5000307155776082E-6
1.3000000000000002E-4,-1.2891148428190772E-6
1.4000000000000001E-4,-1.4971871484612025E-6
1.5000000000000001E-4,-1.7427809067620246E-6
1.6E-4,-1.8248516631135814E-6
1.7E-4,-6.670850231732979E-7
1.8E-4,-2.3090876004017376E-7
1.9E-4,-3.926779578182458E-8
2.0E-4,9.814991800835137E-7
2.1E-4,1.614945027054157E-6
2.2E-4,2.6121083272336064E-6
2.3E-4,3.0113776757488035E-6
2.4E-4,3.571670952781243E-6
2.5E-4,4.691092465570067E-6
2.6000000000000003E-4,5.8484130721864554E-6
2.7000000000000006E-4,6.514814819312868E-6
2.800000000000001E-4,6.9583502626168995E-6
2.900000000000001E-4,7.415299534363369E-6
3.0000000000000014E-4,7.566910385109316E-6
3.1000000000000016E-4,7.826589988702512E-6
3.200000000000002E-4,8.18428746076557E-6
3.300000000000002E-4,8.66578135343933E-6
3.4000000000000024E-4,9.1069972833392E-6
3.5000000000000027E-4,9.250966471547914E-6
3.600000000000003E-4,9.541457553121673E-6
3.700000000000003E-4,1.1343714409224098E-5
3.8000000000000035E-4,1.2747199448764848E-5
3.9000000000000037E-4,1.365941721249391E-5
4.000000000000004E-4,1.4674669896974063E-5
4.100000000000004E-4,1.5782682761351863E-5
4.2000000000000045E-4,1.6446660632895043E-5
4.300000000000005E-4,1.6983144559049427E-5
4.400000000000005E-4,1.729687127137107E-5
4.5000000000000053E-4,1.6806570211679863E-5
4.6000000000000056E-4,1.706946911945369E-5
4.700000000000006E-4,1.8901248675633383E-5
4.800000000000006E-4,2.0796439513912466E-5
4.900000000000006E-4,2.2414440648263347E-5
5.000000000000007E-4,2.3377922880791898E-5
5.100000000000007E-4,2.3894765660440166E-5
5.200000000000007E-4,2.4541949738658894E-5
5.300000000000007E-4,2.5482262387427525E-5
5.400000000000008E-4,2.6142735332527607E-5
5.500000000000008E-4,2.748651168647796E-5
5.600000000000008E-4,2.8902857530900048E-5
5.700000000000008E-4,2.986939677095318E-5
5.800000000000009E-4,3.114673923014699E-5
5.900000000000009E-4,3.28511282261615E-5
6.000000000000009E-4,3.459480184036877E-5
6.10000000000001E-4,3.579886243421708E-5
6.20000000000001E-4,3.65177952060142E-5
6.30000000000001E-4,3.7243178496932786E-5
6.40000000000001E-4,3.833782258034845E-5
6.500000000000011E-4,3.952536957306956E-5
6.600000000000011E-4,4.194883895643196E-5
6.700000000000011E-4,4.325593573119602E-5
6.800000000000011E-4,4.434401512842676E-5
6.900000000000012E-4,4.47654394436279E-5
7.000000000000012E-4,4.5348148323485764E-5
7.100000000000012E-4,4.643774694248114E-5
7.200000000000012E-4,4.768060815574031E-5
7.300000000000013E-4,4.922678869542292E-5
7.400000000000013E-4,5.02212585710567E-5
7.500000000000013E-4,5.0187126569590054E-5
7.600000000000013E-4,5.132859925535798E-5
7.700000000000014E-4,5.3011049496227454E-5
7.800000000000014E-4,5.5059617288627056E-5
7.900000000000014E-4,5.6942663189810365E-5
8.000000000000014E-4,5.904784622635695E-5
8.100000000000015E-4,6.115410175826637E-5
8.200000000000015E-4,6.270591602820533E-5
8.300000000000015E-4,6.330158265262566E-5
8.400000000000016E-4,6.387215704408448E-5
8.500000000000016E-4,6.533569406879751E-5
8.600000000000016E-4,6.615664046069259E-5
8.700000000000016E-4,6.732974036642327E-5
8.800000000000017E-4,6.981351828896547E-5
8.900000000000017E-4,7.107577475031376E-5
9.000000000000017E-4,7.211255862426501E-5
9.100000000000017E-4,7.384316598745271E-5
9.200000000000018E-4,7.523602499949172E-5
9.300000000000018E-4,7.597744138465861E-5
9.400000000000018E-4,7.63495902020592E-5
9.500000000000018E-4,7.772447855159033E-5
9.600000000000019E-4,7.901176085074769E-5
9.700000000000019E-4,7.97803076823187E-5
9.80000000000002E-4,7.938940432218395E-5
9.90000000000002E-4,7.960438606761765E-5
0.001000000000000002,8.023015462628088E-5
0.001010000000000002,7.991655971477508E-5
0.001020000000000002,8.081534665910407E-5
0.001030000000000002,8.245294796769892E-5
0.001040000000000002,8.308698834327506E-5
0.001050000000000002,8.453209619118715E-5
0.0010600000000000021,8.591086514445721E-5
0.0010700000000000022,8.614772451334961E-5
0.0010800000000000022,8.632279646051091E-5
0.0010900000000000022,8.620903680434627E-5
0.0011000000000000022,8.613475273035531E-5
0.0011100000000000023,8.679800207966406E-5
0.0011200000000000023,8.729735768508476E-5
0.0011300000000000023,8.776185562910915E-5
0.0011400000000000023,8.834103821586572E-5
0.0011500000000000024,8.882987841097818E-5
0.0011600000000000024,9.00907591828672E-5
0.0011700000000000024,9.114609234365743E-5
0.0011800000000000024,9.157761157913124E-5
0.0011900000000000025,9.229586800272561E-5
0.0012000000000000025,9.313584910926262E-5
0.0012100000000000025,9.384213440375734E-5
0.0012200000000000025,9.434808677344493E-5
0.0012300000000000026,9.526772756364897E-5
0.0012400000000000026,9.629621301177791E-5
0.0012500000000000026,9.75802675112945E-5
0.0012600000000000027,9.907130038759615E-5
0.0012700000000000027,1.0046486433856697E-4
0.0012800000000000027,1.0180424912888433E-4
