# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.609936464026695546e+01,-4.793871160720846802e+01,-6.695308372684763754e+01
-5.813881625240924222e-02,5.143816280906321481e-03,-4.850986349819379484e-01,-8.685969236439896690e+01,-4.650899105255699340e+01,-6.662937728314108199e+01
-1.383998340834260432e-01,3.592049673227393214e-02,-9.769126948474138317e-01,-8.588043643962470242e+01,-4.627016734645984997e+01,-6.496753357561256337e+01
-2.069053905989139963e-01,4.077784424350738846e-02,-1.477756633629269345e+00,-8.538323477445810283e+01,-4.587206300902481360e+01,-6.421069543024421478e+01
-2.866436175678117593e-01,6.091513217768351751e-02,-1.976453697044064484e+00,-8.556783957699911980e+01,-4.531614219798977672e+01,-6.398821234512133316e+01
-3.574436984656159666e-01,4.030206473339603690e-02,-2.473845457534736170e+00,-8.519911242392306860e+01,-4.532406200801693785e+01,-6.361408152403736693e+01
-4.609524752328102437e-01,6.117147376505727152e-02,-2.975656571391851912e+00,-8.651086994332531788e+01,-4.453224267352477739e+01,-6.389898128197118155e+01
-5.431230009938428083e-01,5.590032952522960841e-02,-3.471143175379296508e+00,-8.744497734945898060e+01,-4.384681890357175149e+01,-6.422570376070906661e+01
-6.444235727008962300e-01,1.020649159362392311e-01,-3.977184156025117545e+00,-8.651019845364695016e+01,-4.420571878257800336e+01,-6.342064999544578541e+01
-7.473420862400157461e-01,9.217215725095684320e-02,-4.481258000945103959e+00,-8.611535733860485209e+01,-4.436097235841852182e+01,-6.250509719006588227e+01
-8.422823261346401580e-01,1.046571779360192522e-01,-4.974467206758305338e+00,-8.670266708912392062e+01,-4.435521930912868527e+01,-6.278490998482067909e+01
-9.497364233780896114e-01,1.212854684682724837e-01,-5.490781408577532829e+00,-8.812692376395293081e+01,-4.389470818844038291e+01,-6.337981656506752159e+01
-1.063016709257926351e+00,1.566309374611591920e-01,-5.971625082995871026e+00,-8.833474839080506058e+01,-4.387532785583258743e+01,-6.317234825816675681e+01
-1.182090107843558613e+00,1.735706965143890557e-01,-6.470830777777308640e+00,-8.627431042920157722e+01,-4.491837117348169528e+01,-6.194959356462821631e+01
-1.297659890427468099e+00,1.661781803608164410e-01,-6.973363869365357459e+00,-8.687751980067289992e+01,-4.500775536190400317e+01,-6.219792189818490158e+01
-1.405983883333382423e+00,2.294962639330151433e-01,-7.461163448452424518e+00,-8.701893400856204153e+01,-4.502815301839952866e+01,-6.221656760676336972e+01
-1.536701591317843452e+00,2.376856054486324865e-01,-7.960906637966076005e+00,-8.773650379883380879e+01,-4.493143797853668531e+01,-6.257588679902743678e+01
-1.648617674790802567e+00,2.535796257623132988e-01,-8.444473672220595972e+00,-8.742257805025602124e+01,-4.527658675404438782e+01,-6.256190921722399167e+01
-1.776906973418702407e+00,2.938641291948442813e-01,-8.945233760047074156e+00,-8.760084270190559153e+01,-4.521225166246455274e+01,-6.264436649353171305e+01
-1.909761980298169348e+00,2.876179099392857097e-01,-9.433462671276743094e+00,-8.756364671732630711e+01,-4.550186690353113050e+01,-6.275769800612769700e+01
-2.037081839271898787e+00,3.377953205850872109e-01,-9.915240410216711098e+00,-8.691663893206349201e+01,-4.586710669701079723e+01,-6.269485164843077740e+01
-2.166235075865310833e+00,3.434614976800958175e-01,-1.040527300177635084e+01,-8.680932619964603703e+01,-4.602437178018141140e+01,-6.283246212649393669e+01
-2.294855227435212086e+00,3.512298060990133308e-01,-1.089585711008959379e+01,-8.989870887404899236e+01,-4.570046384737400302e+01,-6.266913170200056982e+01
-2.434856371362199567e+00,3.788551158158952603e-01,-1.137224547158234600e+01,-9.083240182443753952e+01,-4.575144444735764182e+01,-6.271340527350670868e+01
-2.556466469190588953e+00,4.003554041552206400e-01,-1.188097675213799675e+01,-9.163942889549092286e+01,-4.244339060692163912e+01,-6.424782620100265262e+01
-2.686978999073687646e+00,4.241553402042654852e-01,-1.232720472090059616e+01,-8.862368419632153405e+01,-3.653429700264459967e+01,-6.536193425570461102e+01
-2.826646739001276387e+00,4.624122996842743305e-01,-1.283272718972540360e+01,-8.902357831797019116e+01,-3.758639296274009212e+01,-6.285999234154780879e+01
-2.951145614597642464e+00,4.840783446486511821e-01,-1.329434903764513365e+01,-8.823242085343622421e+01,-3.827804447986540737e+01,-6.305345086133836929e+01
-3.070631684062693267e+00,5.260813397384254131e-01,-1.379039481850381321e+01,-8.872537868525890303e+01,-4.006995993596353856e+01,-6.431676773811331316e+01
-3.202495259100366809e+00,5.617706241259838862e-01,-1.427459907254211657e+01,-8.964430900271277380e+01,-4.422392936712714118e+01,-6.637141341169171938e+01
-3.315479310404285229e+00,5.932202775145469786e-01,-1.474528484279579743e+01,-8.795260998688435450e+01,-4.871254099815325134e+01,-6.878837447256870519e+01
-3.439096821571663298e+00,6.340821175883775140e-01,-1.523465037124057631e+01,-8.544249480782646344e+01,-4.829126289496196023e+01,-6.649816210904806724e+01
-3.555666443573720414e+00,6.643841899506242044e-01,-1.571212811022402889e+01,-8.371235231836108426e+01,-4.913209565224205022e+01,-6.638908166405917655e+01
-3.664752062988856807e+00,6.814575856857345570e-01,-1.620740214789518063e+01,-8.343115546493163492e+01,-4.952468459817738022e+01,-6.692430372256032456e+01
-3.778079363875402663e+00,7.228358773588752229e-01,-1.667321335406586513e+01,-8.313637424642325868e+01,-5.002486654844096847e+01,-6.732339268787266917e+01
-3.863149439735746427e+00,7.442316648268842982e-01,-1.716440924002191082e+01,-8.272808657009932176e+01,-5.048354267756997871e+01,-6.788776215523175495e+01
-3.977281923390684426e+00,7.616602753848837892e-01,-1.766830974994141457e+01,-8.228953903696201166e+01,-5.110766533800954647e+01,-6.849522586367847055e+01
-4.069593888221625377e+00,7.754255452056213471e-01,-1.812272377003839097e+01,-8.238737113341585427e+01,-5.144625073292431949e+01,-6.885986358800191454e+01
-4.160420655842724358e+00,7.917966063453150127e-01,-1.862806875177054167e+01,-8.183486135902971625e+01,-5.218318884777568201e+01,-6.958748561673878896e+01
-4.239856943872741368e+00,8.098007491630596633e-01,-1.912065633941250553e+01,-8.143110894557247548e+01,-5.271975509758878076e+01,-7.014018857523647910e+01
-4.315768184383507844e+00,8.319469622581436852e-01,-1.961262720221122891e+01,-8.132609477213090088e+01,-5.304526323732400073e+01,-7.096001941617154785e+01
