# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.190324926890028223e+01,-4.925507498130476591e+01,-3.161898495563954370e+01
-1.511229065238168801e-01,-2.851420379397495708e-02,-4.628326766697909989e-01,-8.409332926390523255e+01,-4.688118659223178497e+01,-3.024576795018942477e+01
-3.308134257200272543e-01,-5.816291849271237879e-02,-9.146654393082656043e-01,-8.448781668333920436e+01,-4.542663071334860803e+01,-2.874125683469763004e+01
-5.022441846226781692e-01,-9.708364436357896921e-02,-1.362477539348617483e+00,-8.583364091634611270e+01,-4.340388689557128998e+01,-2.728162940901071920e+01
-6.781386757309739721e-01,-1.202868187605190542e-01,-1.813559181910989082e+00,-8.646510591895203390e+01,-4.166263113226180792e+01,-2.567035085034654784e+01
-8.624507478568030905e-01,-1.732231757450790610e-01,-2.265067328088008480e+00,-8.684651978981501941e+01,-4.036666385484353725e+01,-2.438429819387764397e+01
-1.050273063185514388e+00,-1.864916352182035553e-01,-2.690067642012110127e+00,-8.756125339535995522e+01,-3.868947416706809150e+01,-2.287515075831746003e+01
-1.228543103158752814e+00,-2.285339995597723828e-01,-3.122028106099577371e+00,-8.783486411625769108e+01,-3.673825221682236730e+01,-2.117037198244298679e+01
-1.425311146939913343e+00,-2.678062727719634495e-01,-3.550182913961208442e+00,-8.814884442743799298e+01,-3.558286153711292599e+01,-2.000030328630542087e+01
-1.621250017838963053e+00,-2.889985267472638952e-01,-3.969276570328531761e+00,-8.851912603970752969e+01,-3.439855482863727332e+01,-1.893901889268024519e+01
-1.803643731556238805e+00,-3.100160914574416893e-01,-4.386342550430043730e+00,-8.907089045121502124e+01,-3.235087441893170279e+01,-1.743178394280249677e+01
-2.007612379063505870e+00,-3.610816527634597151e-01,-4.798476358267265596e+00,-8.912505577606630425e+01,-3.098243539437954297e+01,-1.614016874670409507e+01
-2.209345791432903106e+00,-3.829439753416181702e-01,-5.199781291803049044e+00,-8.937999402838184437e+01,-2.995335380627180299e+01,-1.526166638093389416e+01
-2.412509695260084186e+00,-4.051574656903085270e-01,-5.597701890982648365e+00,-8.960241228810065195e+01,-2.847672896735004144e+01,-1.416517541255143797e+01
-2.591701875326952731e+00,-4.400047686332300145e-01,-5.997889761588822921e+00,-9.009323699554090581e+01,-2.675871232190240079e+01,-1.281980962769103627e+01
-2.803352060111540034e+00,-4.769276906116601822e-01,-6.393532698440850481e+00,-9.026401571274068658e+01,-2.554135657600064135e+01,-1.140999324546357840e+01
-3.010470422692530512e+00,-4.978110793953192115e-01,-6.783393576308100137e+00,-9.021464067979684387e+01,-2.468066750519487940e+01,-1.068396525254214069e+01
-3.201835254061470515e+00,-5.008002227034467069e-01,-7.166776152927468502e+00,-9.042383410193035331e+01,-2.492000586202295764e+01,-1.117215231220487937e+01
-3.397950675825815559e+00,-5.610874564630421446e-01,-7.557143917042793646e+00,-9.050017356627030551e+01,-2.314965645264745575e+01,-1.009906344084752838e+01
-3.590107918513777197e+00,-5.849417426471745785e-01,-7.936748470469410677e+00,-9.063513826286768449e+01,-2.178809424232010983e+01,-9.104141350497819474e+00
-3.788070402484670751e+00,-5.869158001680716552e-01,-8.315877290728764137e+00,-9.074662417502231904e+01,-2.087522857237970442e+01,-7.771373997684825063e+00
-3.969252444512810118e+00,-6.142609126003435449e-01,-8.689627722742500282e+00,-9.063356344996927305e+01,-1.923485140277700012e+01,-6.486731232983974138e+00
-4.164250896495122589e+00,-6.628941717278848955e-01,-9.072852398852575107e+00,-9.082532041163619851e+01,-1.848386143277873117e+01,-5.228845607084108060e+00
-4.344565727303709934e+00,-6.735670463790484064e-01,-9.453844400077343835e+00,-9.074767286988463866e+01,-1.831822364358698962e+01,-5.495258350111477341e+00
-4.530625582224850234e+00,-6.736997699525772987e-01,-9.827153520740580461e+00,-9.064864916957031937e+01,-1.695562718220910625e+01,-4.533943479672152499e+00
-4.701850740433274112e+00,-7.164556334043936658e-01,-1.021126969453433730e+01,-9.068869539152122172e+01,-1.861618575060294134e+01,-5.045113907600645042e+00
-4.883171278492882905e+00,-7.261257337723918681e-01,-1.059013649797122980e+01,-9.082296935908159696e+01,-1.708147433702807660e+01,-3.393748773736493085e+00
-5.047788651410591854e+00,-7.444486222312889367e-01,-1.096814215842132967e+01,-9.079275219967340149e+01,-1.546435909719163426e+01,-3.423499277780603034e+00
-5.222457247492870991e+00,-7.620511244225554037e-01,-1.134378360697363064e+01,-9.079951335382523325e+01,-1.450972990929164830e+01,-2.017297992521408734e+00
-5.386413911691529499e+00,-8.011322502353550590e-01,-1.172749953415362256e+01,-9.076020880136995572e+01,-1.412958424353005604e+01,-2.779342249373513596e+00
-5.544521700412593290e+00,-7.999120776265726818e-01,-1.210656695153562623e+01,-9.070617159226100057e+01,-1.331377081362158066e+01,-9.725611958751028130e-01
-5.705076330426616771e+00,-8.092632168322779762e-01,-1.249368460176717122e+01,-9.067813867835363340e+01,-1.256135103053784086e+01,-9.007206510957673773e-01
-5.866224195363364480e+00,-8.308707888561457366e-01,-1.288161421480970148e+01,-9.051618393153700026e+01,-1.132609287145960053e+01,-1.593972350810899871e-02
-6.014409147340273876e+00,-8.862147740353520931e-01,-1.327785151020120225e+01,-9.061686543119519399e+01,-1.190802869299929156e+01,8.137837753215904080e-01
-6.153865662077932619e+00,-8.830594142854124584e-01,-1.367564098664522021e+01,-9.075080644073010205e+01,-1.106624121627575619e+01,1.017180483612989628e+00
-6.286705132788453554e+00,-8.707630586322920863e-01,-1.406672496851794563e+01,-9.089179872071811417e+01,-1.072227842964936428e+01,1.219046772272949219e+00
-6.431219654892394999e+00,-8.755692359243312239e-01,-1.446341633560038531e+01,-9.085700839828180619e+01,-9.989058657606307179e+00,9.637319682420335543e-01
-6.558432626288578149e+00,-8.963035392293932091e-01,-1.486840799650079248e+01,-9.072156674593895787e+01,-9.862971606826640425e+00,1.447123775611105279e+00
-6.689118008311931263e+00,-9.400966540965782769e-01,-1.527073147084300331e+01,-9.060570038828018369e+01,-9.802685852259495292e+00,7.037516128966121443e-01
