,index,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0,6143.0,0.0,0.0,0.0,-24.55245179978188,13.315686065171908,-21.583888921144226
1,6144.0,-0.05992762809808738,-0.11096270978941902,-0.6196124871613051,-24.64022402637003,13.690520950564997,-20.72672129989917
2,6145.0,-0.1335091538770472,-0.1978203749882823,-1.2390868147607534,-22.84013136607201,16.093394339617515,-20.83517065520756
3,6146.0,-0.20894004068586813,-0.29193012359178283,-1.8703625544110878,-22.42354269961718,17.256043776423443,-20.646272683402668
4,6147.0,-0.2833191877837038,-0.39158784900087085,-2.493984825132827,-25.11221096675861,17.005663290128403,-19.99409776606189
5,6148.0,-0.3735545321278,-0.4799121096784802,-3.120294431613047,-26.977422880225348,19.02011093835948,-21.743466431892184
6,6149.0,-0.466676539946036,-0.5862305853947873,-3.7443467315625867,-27.17312374112465,20.24561071475843,-25.42705690040489
7,6150.0,-0.562020331395817,-0.6746966011104405,-4.3573398740325615,-27.033456496303,22.36100293011033,-26.48627577118039
8,6151.0,-0.663436335841233,-0.7631693612341905,-4.972974040180986,-26.28594618761403,23.924047255246272,-25.352082244627947
9,6152.0,-0.7690529249719988,-0.8608378365439648,-5.593375085210681,-24.46946933593847,22.413247961423163,-21.25059578842079
10,6153.0,-0.9023278520895204,-0.951158080102573,-6.194148872338047,-23.272476183372543,22.523750753619804,-19.176975863661397
11,6154.0,-1.0315047696756583,-1.0399559975951433,-6.8018699158536435,-21.47790368810439,22.612349066099625,-18.158589039655425
12,6155.0,-1.157511261328533,-1.126768883657519,-7.413502374428049,-21.52062686360001,23.31797760331774,-18.47357270072288
13,6156.0,-1.307689824917499,-1.22143460739494,-8.012184585674675,-22.149969010670024,25.922220575204538,-20.04737687345037
14,6157.0,-1.4466778083221552,-1.3015974388190443,-8.61000440817051,-21.15601700157388,25.876411093662465,-18.944429339125165
15,6158.0,-1.5978024768661534,-1.3948982437844961,-9.207300347007958,-20.16045919509248,26.824595410543267,-18.678688630866557
16,6159.0,-1.757417974503547,-1.4745338265931878,-9.790990426320718,-19.446203007728023,27.04741431380554,-18.112978414717453
17,6160.0,-1.9155165522110842,-1.5549119872486017,-10.386174503542208,-17.620931107061075,26.958214854219957,-17.95850886606211
18,6161.0,-2.07573082333592,-1.637657563051448,-10.969648482733191,-16.915416683367503,27.464175124426443,-17.38976049843957
19,6162.0,-2.245661122080323,-1.7013803767820264,-11.547813684228117,-17.371082214376056,29.018902069547018,-19.151396429464157
20,6163.0,-2.4134695494811704,-1.782186327845352,-12.12832708339829,-14.804352102464437,28.457415607713127,-18.1112211365828
