# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.577017026498300822e+01,-3.525765240557088731e+01,-3.354868903768095834e+01
7.280029895448111854e-03,-1.587561238433181643e-01,-4.676277918498215058e-01,-2.668203541750840913e+01,-3.523416508751439125e+01,-3.283197915842981729e+01
2.057760722439939960e-02,-3.008883228259264797e-01,-9.362899875917776171e-01,-2.800544823055826882e+01,-3.507710976936036928e+01,-3.227560408011478188e+01
3.595479348108500395e-02,-4.540637522756014732e-01,-1.413102127642048345e+00,-2.926189030938867930e+01,-3.465865949085787889e+01,-3.184856197057814242e+01
5.921023574141030810e-02,-6.035052461400027823e-01,-1.894030574057381955e+00,-3.024140258111762947e+01,-3.461924323408366178e+01,-3.159636210807157042e+01
7.943439758171490228e-02,-7.431584981194419015e-01,-2.377130743886823439e+00,-3.163135779344503717e+01,-3.407334776405316035e+01,-3.105668120990068104e+01
9.684024780379960062e-02,-8.803223954739678447e-01,-2.857187988560127678e+00,-3.341666567098784668e+01,-3.287493480690112335e+01,-3.001880513808923823e+01
1.031440256562805025e-01,-1.028572809021966350e+00,-3.340543966070242732e+00,-3.377663960304777646e+01,-3.336593125368580814e+01,-3.018320037121445765e+01
1.126882889423046069e-01,-1.175552675902054034e+00,-3.829194357948324523e+00,-3.496894622394924568e+01,-3.298353555002493209e+01,-2.980256993013967914e+01
1.345017285913193139e-01,-1.304228589572971941e+00,-4.315019195787670014e+00,-3.611675016157091278e+01,-3.205465659959632774e+01,-2.899109462771216883e+01
1.544108861343866934e-01,-1.444278135723948253e+00,-4.808399175808176551e+00,-3.704508982097163994e+01,-3.206918939073469943e+01,-2.898308574837754747e+01
1.637867661488338067e-01,-1.578639741289748599e+00,-5.297077822436449424e+00,-3.855949077701507832e+01,-3.085298947625934574e+01,-2.838011532147381644e+01
1.816958816662316012e-01,-1.721448425829976259e+00,-5.795466316823564057e+00,-3.892287460943531130e+01,-3.075749981531700428e+01,-2.797425537816348040e+01
1.939321557885897995e-01,-1.850739906910575883e+00,-6.282962284203165382e+00,-3.984134327420593991e+01,-3.057316275735974287e+01,-2.773470313516874697e+01
2.095633046636234120e-01,-1.984673129667498870e+00,-6.777137050089237391e+00,-4.025117733686366250e+01,-2.995205958164258320e+01,-2.698828381962879064e+01
2.118419373957374230e-01,-2.108598078643126428e+00,-7.280760292679048007e+00,-4.143663527853900774e+01,-2.901165759833876123e+01,-2.672765305277679460e+01
2.315573671595363980e-01,-2.235199239573603336e+00,-7.769265754218082520e+00,-4.185826072807225273e+01,-2.876591790145801042e+01,-2.637934678130793031e+01
2.373794362451153994e-01,-2.361904733562482761e+00,-8.266385407787396389e+00,-4.256000321615047710e+01,-2.834226230808611646e+01,-2.571272670719881148e+01
2.487669828633481961e-01,-2.487385667843909687e+00,-8.765378159372630762e+00,-4.296632564434320756e+01,-2.801282095266900996e+01,-2.532683816296270862e+01
2.450986734834404157e-01,-2.611571651663439297e+00,-9.261012064765878904e+00,-4.387584325294582044e+01,-2.700541491489578405e+01,-2.493566227125038992e+01
2.505724644396115086e-01,-2.740218990313792347e+00,-9.756790767191802161e+00,-4.468432298040975326e+01,-2.626783223792372723e+01,-2.471498724718478712e+01
2.557051131688846124e-01,-2.859394410665458963e+00,-1.024653274189790864e+01,-4.494792783091909882e+01,-2.626727072886761150e+01,-2.446487726030242271e+01
2.559928587945118350e-01,-2.982184857963261493e+00,-1.074535461759424493e+01,-4.559502396581807204e+01,-2.523691262481942488e+01,-2.395812528448646361e+01
2.511264501850368758e-01,-3.107812475868172442e+00,-1.123986345102059659e+01,-4.592010035183876226e+01,-2.487303159327959534e+01,-2.377021793825565865e+01
2.459908435950947103e-01,-3.227608120943386893e+00,-1.173435893345356362e+01,-4.684978903577211184e+01,-2.360300710977070082e+01,-2.338431043632021655e+01
2.448095212182262170e-01,-3.348745794318233493e+00,-1.223034216951100461e+01,-4.691078435922447909e+01,-2.301988583113083209e+01,-2.290949486338219998e+01
2.380543112204522027e-01,-3.461153318488186414e+00,-1.271589804586338346e+01,-4.734498889213291761e+01,-2.286624203077766282e+01,-2.314937674538260737e+01
2.336089315533440014e-01,-3.575698273897501167e+00,-1.321286361254104236e+01,-4.792231308229668230e+01,-2.146093531328441983e+01,-2.264043829615473058e+01
2.255660491388867261e-01,-3.701179553494284846e+00,-1.370830719053518010e+01,-4.756403883142787237e+01,-1.959491386504026167e+01,-2.227367508479182234e+01
2.079844348958622136e-01,-3.814904501610726584e+00,-1.419619506886942872e+01,-4.886072608595998190e+01,-2.006761392727848303e+01,-2.216120445418838258e+01
1.926074366948523076e-01,-3.928319123479354857e+00,-1.468521929084022304e+01,-4.894509446369534089e+01,-1.963935017139349171e+01,-2.274020957954525102e+01
1.783107609542918248e-01,-4.039645055167284227e+00,-1.517613980227292814e+01,-4.919355335776307925e+01,-1.876312099376750453e+01,-2.169090008020692295e+01
1.627104259772353123e-01,-4.151025125502656010e+00,-1.566589125123707049e+01,-4.948963011516236321e+01,-1.758759169266705769e+01,-2.121097905417282448e+01
1.454166051362855983e-01,-4.265624567982513327e+00,-1.615655207672958227e+01,-4.989114301395557760e+01,-1.730314916464521602e+01,-2.161810971916308333e+01
1.311523458922111973e-01,-4.369597211703762696e+00,-1.665348915658751139e+01,-5.039057678410821950e+01,-1.621642924174853917e+01,-2.094805704932523938e+01
1.043056708995217102e-01,-4.484057827923720652e+00,-1.714046693181828118e+01,-5.025737007082174301e+01,-1.535551128008978417e+01,-2.176769518721769359e+01
8.406623085743469836e-02,-4.589079536696203832e+00,-1.762598715541037109e+01,-4.999273686000476857e+01,-1.452287184815087784e+01,-2.045000659842688506e+01
5.788615548728180682e-02,-4.692422667479831944e+00,-1.812199405915430361e+01,-5.035041510353568128e+01,-1.340825880635451206e+01,-1.980431448253535009e+01
3.508385912896290482e-02,-4.796902342244948159e+00,-1.860693416921012044e+01,-5.075458985509526855e+01,-1.269030396895791846e+01,-2.060295412563271711e+01
6.077054262714112753e-03,-4.900384630714711420e+00,-1.909295887509497902e+01,-5.072201360188088159e+01,-1.168425544603401534e+01,-2.005898083326224324e+01
-2.876608745045178273e-02,-5.002499148699371290e+00,-1.959087089893438360e+01,-5.079125961407154222e+01,-1.062168455792726007e+01,-1.963585215335740131e+01
-5.944063631618609622e-02,-5.096957726684195222e+00,-2.007856618221518374e+01,-5.054653694526159313e+01,-9.609911101012535539e+00,-1.852054996588937996e+01
-8.518606519232679863e-02,-5.204041208067110347e+00,-2.057066153414035625e+01,-5.076373857744216878e+01,-9.175801141886440249e+00,-1.880470448681288431e+01
-1.369895638293255891e-01,-5.319418278776879561e+00,-2.106909074962322848e+01,-5.070508401793420461e+01,-7.714317362480128004e+00,-1.957583472311782913e+01
-1.707516477019321022e-01,-5.429323859931287188e+00,-2.156828684611835456e+01,-5.047870106979019056e+01,-6.865731530247413339e+00,-1.841084108873176106e+01
-2.109179331495954768e-01,-5.536677094236438279e+00,-2.206705184480514959e+01,-4.974501531298841428e+01,-5.492929371717304221e+00,-1.785975157024230597e+01
-2.445025774492499970e-01,-5.631001708439271169e+00,-2.255929396908857143e+01,-4.973457605486800048e+01,-4.945344050045436646e+00,-1.842006942690173688e+01
-2.882406006945701371e-01,-5.712764550352062543e+00,-2.305541525080352017e+01,-5.036188385145599256e+01,-4.179025111592685526e+00,-1.825338060101179138e+01
-3.352377732542292099e-01,-5.804258923408156079e+00,-2.354440993546518257e+01,-4.994546816110727150e+01,-2.839688152953318667e+00,-1.744722760319109511e+01
-3.737137966427546143e-01,-5.884679127059484927e+00,-2.404027633084555760e+01,-4.923535120575836999e+01,-1.057898933750398340e+00,-1.745826749610199258e+01
-4.202200964534771321e-01,-5.971033732697151208e+00,-2.453271149067720103e+01,-4.887825813251609475e+01,-6.491075624287505619e-01,-1.669381423277355125e+01
-4.750209269619088959e-01,-6.051129126340811126e+00,-2.503266849861836363e+01,-4.881364891044178478e+01,8.170862692549502038e-01,-1.694227192828753914e+01
-5.263362224777426990e-01,-6.135098466254817140e+00,-2.552969474238867065e+01,-4.924477216799795087e+01,1.111394830253111365e+00,-1.745242757363961061e+01
-5.835770030829380284e-01,-6.206822966486015503e+00,-2.603134586186516231e+01,-4.855107465192447336e+01,2.294915318718389052e+00,-1.753453622142390955e+01
-6.330758853345744841e-01,-6.287268642681624442e+00,-2.652738325995920832e+01,-4.815453045200289495e+01,3.256057582491517000e+00,-1.697604446848371040e+01
