# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.182077145610806923e+01,3.301304981107401204e+01,1.532399699831698436e+00
1.790821205255523907e-01,8.580890751204606204e-03,-4.838575126662476578e-01,-3.108861002307984833e+01,3.202154111306086293e+01,2.002228585801333338e+00
3.623768557357225362e-01,1.586374128760326130e-02,-9.671965349841400439e-01,-3.011649019486498347e+01,3.120563457168875132e+01,2.294075239236161856e+00
5.369840178795337593e-01,4.739599163440288976e-02,-1.440060701718238079e+00,-2.870489860722998543e+01,3.011704206232445102e+01,3.213784564264755783e+00
7.106801541909337772e-01,6.911416438151718467e-02,-1.919500274327077705e+00,-2.784785377586608845e+01,2.950828884006106279e+01,3.591541766942398795e+00
8.916899458919935739e-01,1.015930923298355992e-01,-2.395503958997153404e+00,-2.703751512614589458e+01,2.869936609485464984e+01,3.825223692798557895e+00
1.062725978592252929e+00,1.294783039261346858e-01,-2.871438442446134331e+00,-2.534542997549689858e+01,2.832601856218941094e+01,4.607669796817152275e+00
1.240741261056022005e+00,1.741146098900117067e-01,-3.345314154323006051e+00,-2.524614695017366728e+01,2.717261411471380939e+01,4.969372976362199879e+00
1.413633429384759665e+00,2.252677642800335889e-01,-3.810427521459558875e+00,-2.406898593634351968e+01,2.618205202790463915e+01,6.295175750956571115e+00
1.585907942548153926e+00,2.601551245328437290e-01,-4.300904154783154354e+00,-2.291307449647714733e+01,2.569204567953752871e+01,6.421154002266767691e+00
1.777544035925649801e+00,3.224720798992848358e-01,-4.778619322065992492e+00,-2.214121128506351610e+01,2.487854360632550410e+01,7.330434865743956863e+00
1.960221147765329519e+00,3.755082033954977305e-01,-5.252367218638596569e+00,-2.108888138515752075e+01,2.438827148589401972e+01,8.033233588736196751e+00
2.116401838844810257e+00,4.323350808534769385e-01,-5.726121275707271252e+00,-1.987938929819023670e+01,2.368603475431936545e+01,8.740989826855310341e+00
2.280084299457400654e+00,4.881214246609033580e-01,-6.198388443152538230e+00,-1.895270022294523926e+01,2.304094272536657684e+01,9.513692665747875310e+00
2.433270137357475882e+00,5.580179362319768188e-01,-6.671969625306758189e+00,-1.790049835291424074e+01,2.240518258899744808e+01,9.966871210227360223e+00
2.581637525008836143e+00,6.181405060657425565e-01,-7.145400364487556999e+00,-1.701093485736035760e+01,2.180239564418015519e+01,1.060257744972236438e+01
2.731413751172825144e+00,6.879555875420919620e-01,-7.620157990694366390e+00,-1.597446632392076005e+01,2.136457128543754536e+01,1.114011922677284083e+01
2.865549219036771511e+00,7.570003008756884810e-01,-8.092738869460845308e+00,-1.482495249275267390e+01,2.065552789909598275e+01,1.226510857300318591e+01
3.010368884362306652e+00,8.355564872907734753e-01,-8.572540659692663212e+00,-1.160155856369796723e+01,2.048389621455798348e+01,1.242366944087280878e+01
3.144769953912654792e+00,9.183019046591880397e-01,-9.054759943126640565e+00,-1.194781413125876313e+01,1.896239285522968032e+01,1.423078170652506458e+01
3.283463328454139685e+00,9.875190756004030845e-01,-9.526337449364319809e+00,-1.169897898327066343e+01,1.816194716966959888e+01,1.497435253293122237e+01
3.408168670270224077e+00,1.068948338598943337e+00,-1.000208345822275646e+01,-1.190509000586742872e+01,1.874835208934478459e+01,1.360197469099545131e+01
3.520256186068580817e+00,1.143833603030884660e+00,-1.048085362687396582e+01,-1.083717473934565589e+01,1.861785506625686892e+01,1.433170204186805030e+01
3.640718019503476732e+00,1.224629484005959057e+00,-1.096347880594376534e+01,-9.790160507528771205e+00,1.802261542195119048e+01,1.483241535552848056e+01
