# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.880793603517820856e+01,-1.122158658718879387e+01,3.605739411332304023e+00
-6.269191481756308804e-02,-1.446870335237235849e-01,-4.910295317937141135e-01,-3.871467730363394111e+01,-9.359673662983347242e+00,1.393039096144956801e+00
-1.091472153701213976e-01,-3.066531272266956876e-01,-9.923484346288944380e-01,-3.902818955766865372e+01,-7.833559972943016980e+00,5.322698133503214191e-01
-1.692539571672511123e-01,-4.354485316855516430e-01,-1.483581731830156514e+00,-3.845017962153249158e+01,-7.319323274713626759e+00,1.319807786350495782e+00
-2.450890953128483929e-01,-6.019614834682442961e-01,-1.969590455063297441e+00,-3.903267528341177695e+01,-7.407879804638319854e+00,2.532104102887001051e+00
-2.909731324416304776e-01,-7.274780445738997514e-01,-2.462286130598840828e+00,-4.020238167747636737e+01,-6.659868442667238320e+00,3.053002841856096605e+00
-3.452185059303531922e-01,-8.844029641492170413e-01,-2.959610548091376359e+00,-4.071747811906245573e+01,-5.371763805463199759e+00,3.161210150428487076e+00
-3.919976996532619218e-01,-1.042990668847210145e+00,-3.460265904418577065e+00,-4.162772215117404784e+01,-4.961133276429280592e+00,3.571135527664630605e+00
-4.418646695003625169e-01,-1.186214932146754109e+00,-3.961552671656534130e+00,-4.249038878915190764e+01,-4.299616334937539364e+00,3.634459490292474282e+00
-4.914663007801798322e-01,-1.320184008850674218e+00,-4.463231155410454676e+00,-4.335564894865999719e+01,-4.759464501662147740e+00,6.391071578629424543e+00
-5.366640430033247089e-01,-1.472033258545138779e+00,-4.959830498226835971e+00,-4.130007301519275842e+01,-4.641303639405738757e+00,8.844832696585937626e+00
-5.853829339067051496e-01,-1.619922788422968551e+00,-5.473919610865692675e+00,-4.194033655057394583e+01,-3.998137396126943077e+00,9.296229201980031220e+00
-6.232562585298508928e-01,-1.774493815113942219e+00,-5.974344901524943907e+00,-4.262437927005166216e+01,-3.372032775011424288e+00,9.822273710120331458e+00
-6.692753664486628118e-01,-1.937872318725680998e+00,-6.467727583640112243e+00,-4.293112998765855792e+01,-3.045791473986013020e+00,1.051870561274724558e+01
-7.096259864353782199e-01,-2.096080369444052849e+00,-6.969836656474853953e+00,-4.329843520623717978e+01,-1.888857981290341659e+00,1.059041397010210339e+01
-7.449261204092407773e-01,-2.252035961987644441e+00,-7.466071007101675150e+00,-4.412509049008336603e+01,-1.922115432551176006e+00,1.121047405131107055e+01
-7.820144014026091384e-01,-2.416345162445509231e+00,-7.965431969108664134e+00,-4.394640335271343190e+01,-3.612722211624754820e-01,1.121624617311885430e+01
-8.137205765727193452e-01,-2.572086576229594357e+00,-8.471490278559258513e+00,-4.478887395040179342e+01,-2.412165284490239842e-02,1.166379705580000881e+01
-8.532648688833555095e-01,-2.731357855583723904e+00,-8.971650066715625371e+00,-4.516801989759388647e+01,4.918573816276495814e-01,1.219819841885679956e+01
-8.831903240746656891e-01,-2.887808400490598615e+00,-9.475691126512629126e+00,-4.520673194945915441e+01,9.679961847305920131e-01,1.243678355852088480e+01
-9.124517072952891272e-01,-3.043416929304044061e+00,-9.978537152514434183e+00,-4.549981833895483163e+01,2.078400238931733313e+00,1.267878124985613653e+01
-9.472833287391180246e-01,-3.203737535222785482e+00,-1.048229027326854634e+01,-4.652709778219306713e+01,2.687998800947156486e+00,1.315292304398246337e+01
-9.866746838526243568e-01,-3.364643503069487451e+00,-1.098956089927207813e+01,-4.740908914731104318e+01,3.282269548202562337e+00,1.322171470556510364e+01
-1.010062119436332395e+00,-3.518831561090792093e+00,-1.149480170707474258e+01,-4.846276682416382897e+01,3.814383906692603965e+00,1.377137072712283583e+01
-1.042542296109447930e+00,-3.664296646914976918e+00,-1.199983917671531231e+01,-4.916396287243729546e+01,6.455168024036406216e+00,1.124184679328450009e+01
-1.076098145365386172e+00,-3.827340044499010219e+00,-1.251479146491189454e+01,-4.903169644704456687e+01,8.288456802457561778e+00,9.675914623093099465e+00
-1.096895389267887211e+00,-3.983470387943157220e+00,-1.302711985642633863e+01,-4.898010250611368122e+01,8.561659797445091868e+00,9.972765053887432174e+00
-1.123714262317516255e+00,-4.148671998658869597e+00,-1.354183132718790716e+01,-4.860622641677925770e+01,9.107713373598711470e+00,1.036603386191838005e+01
-1.148150339196250203e+00,-4.291027268068319245e+00,-1.405100320176330797e+01,-4.833800141325883004e+01,1.025921030766620845e+01,1.108770230507191279e+01
-1.183637130245964730e+00,-4.439066564821132488e+00,-1.456658777418479644e+01,-4.818653958788820546e+01,1.092579367066462837e+01,1.104732644711445211e+01
-1.209010139231341263e+00,-4.578586141698679057e+00,-1.507520450561685266e+01,-4.877535484567606971e+01,1.133973163504730408e+01,1.081706003032077135e+01
-1.239624386165985026e+00,-4.711705012071774945e+00,-1.558935065109946549e+01,-4.854418860678036651e+01,1.158372242022649168e+01,1.160437718706574728e+01
-1.265609725490875803e+00,-4.856375606449887528e+00,-1.610271066778389581e+01,-4.868437482605936850e+01,1.242625100766496082e+01,1.114041654666958969e+01
